,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2015,1.1225140897736974,1.087703857297792,0.908857312517128,0.8752035204568879,0.6897273699393622,1.3269580220607224,1.5802683362433736,1.244120315108475,1.5544936544537886,1.1884399636024294,0.8677381162875074,1.2153244018554688,1.5089912227326796,0.4783538896209431,0.7846109763623114,0.9188310206065561,1.0004971064362944
tas,2016,1.235252916333252,1.1145822146663515,0.9794096799561439,0.798956625605887,0.8270628337457803,1.4189150983795191,1.4949945818401698,1.3399745885335126,1.7541214787152342,1.0246029922613218,0.8996166005373757,1.3786087036132812,1.4398373464309249,0.5552822637932783,0.9139014683910555,1.1533208933068881,1.077552930014292
tas,2017,1.3158799065929496,1.018123433919186,0.9879064430052106,0.7932914565003557,0.8912915412412209,1.3530950907132204,1.4376114319854356,1.2827059891394488,1.88407616901254,1.148932515076704,1.0250824581714586,1.7194112539291382,1.5560534124468859,0.828570154616628,1.0153658167914064,1.1241774273429712,1.261251492469763
tas,2018,1.2116557539486574,1.0706714916573503,1.1373084460737932,0.9205063020270785,0.7394879462203837,1.3618802950730213,1.8091083117546418,1.3379503501811125,1.63498470984302,1.3315484737264807,1.0652082328696604,1.5436757802963257,1.6760244022724418,0.9549968651421589,1.0664558446694297,0.9838770806545843,1.2592686813152245
tas,2019,1.2833311642413843,1.0842992891896444,1.1232162355750859,0.9635671153387287,0.86726263555038,1.284277921535325,1.9276257674391484,1.5510951183231043,1.6059309266822386,1.120395014036878,1.0752365538920021,1.432421326637268,1.6409564068883735,0.7069966360809209,0.8373249743167813,1.1518527838399422,1.2432243506690857
tas,2020,1.2257143210032002,1.065574751715398,1.1035824339575413,0.9264622253069774,0.9143917206723179,1.1428881948466578,1.8560615373438292,1.32761146173191,1.6528062346475043,1.3386509913247646,1.0161122094055675,1.4489415884017944,1.7835380922125286,0.8369768283032736,0.7657632748999248,1.1644427322232123,1.0746612758087082
tas,2021,1.3030431817932235,1.1919102675890418,0.9851483704057671,1.0006093087901178,0.9675403239892688,1.2802989748684344,1.7048711792983557,1.5246707609970211,1.8619499581053987,1.3659403925539995,1.0622745576902777,1.6248677968978882,1.7286400623932678,1.0910210777643716,1.0958699698204744,1.033821458091244,1.0924109944388267
tas,2022,1.1622393751181619,1.114140959914901,1.067937695399588,1.110987170349219,0.9094072752063104,1.3279707592807455,1.9696495070134385,1.637909469157293,1.8115269592190373,1.229567786535796,1.0876134591323752,1.3284225463867188,1.982699666773409,1.164699790671449,1.0343801399589836,1.016367252435117,1.2968473150421478
tas,2023,1.2715962298472097,1.2891742111229973,1.1591129053862563,1.15590403717781,1.151183606535355,1.414757360577165,2.18372226550863,1.6386435712368221,1.79760054398281,1.5100862309384364,1.077739342878682,1.4073104858398438,1.9929738655590654,0.7620769702365635,0.9906943161821621,1.0645087632225483,1.2870864976385217
tas,2024,1.2210147629075057,1.476036581400488,1.2514024936547419,1.0909721326942712,1.14206809287946,1.5986926558990906,2.0245384509970656,1.4650825027570609,1.8326644727343648,1.4429984448410806,1.1113030875693966,1.4880040884017944,2.0280611713404917,0.6781744470280936,1.0228438990133004,1.3589927058551723,1.3485279619247734
tas,2025,1.2561520636569365,1.2467405790245796,1.2697576733513454,1.1405882166728152,1.0231658422261205,1.4287796874254184,2.1475735210377658,1.4305563840872442,1.9056773836309304,1.4067509509017622,1.1551566505624133,1.7596486806869507,2.066421859782139,0.9684989376234606,1.1172058251112844,1.3835602525164508,1.3999657251602666
tas,2026,1.461296592438316,1.2560866811725475,1.3748002804609125,1.1345419408567494,1.1624348683034214,1.471820546171955,2.1269674258141293,1.7278920248828484,1.70223070632548,1.5835500249428947,1.2425947339129,1.6995519399642944,2.2489513650805484,1.2289904541345749,1.0280726453272802,1.3453344634128162,1.5383748433875628
tas,2027,1.5150639404880621,1.389115700074754,1.3106130414954105,1.1926093066534331,1.1574143269571096,1.5301984323684508,2.258022462409334,1.7648860764265635,1.796057966913845,1.5176030400436105,1.4234502422035054,1.6850179433822632,2.130759684632712,1.2618327134025975,1.0347129271606974,1.3196505151547342,1.4361268824023294
tas,2028,1.7381418758257468,1.5681547351866527,1.2866203082328884,1.2022905099089627,1.091529285817316,1.7070452216642877,2.4705371001361933,1.6633911129283139,1.7775507697270758,1.593344986738354,1.3662173122067192,1.9436416625976562,2.329851612585306,1.0061507179445925,1.1225543122258255,1.537686677330176,1.4564962348820434
tas,2029,1.5922728011537448,1.5109239056158497,1.3575622104455836,1.0274098975123753,0.9104624791532482,1.6053111566194265,2.298101005840683,1.7216143455428419,1.9209236832764087,1.5087946544053448,1.3689276270246087,1.9770736694335938,2.353677390202487,0.84490881870272,0.9883972117124765,1.4227742756366268,1.4033944327361307
tas,2030,1.6491810316925306,1.285463074925796,1.3402398921417056,1.1153151550112597,0.976866085968993,1.5307014732389728,2.3472707040253766,1.7379954033471374,1.826706825312608,1.4426184472067927,1.34517830429715,1.7117691040039062,2.245050500013837,0.9992365254099648,1.0723090423170494,1.1852431870786926,1.4690809551521085
tas,2031,1.5902148410082475,1.388683692140532,1.4565133920061537,1.2946070119058533,1.0831198292068318,1.697004070962431,2.4588408565830755,1.6728917544732032,2.0220955972786405,1.6859926168841686,1.3483519791375898,1.540051817893982,2.401663889887658,1.1239032292491753,1.0381682813172877,1.1901292850031904,1.5161109607128083
tas,2032,1.66461766758736,1.5224604557571553,1.5291320638202894,1.255520608072852,1.2344376142283882,1.6781010889211434,2.4929151009690003,1.604825708593997,2.1871565960793142,1.7298132407095939,1.3455348218668206,1.7730306386947632,2.3671687056598265,1.087635943129153,1.1104658903995765,1.4263331356294155,1.4011036962612877
tas,2033,1.7851267871909566,1.4591408572323417,1.4320954467656293,1.3367103359093353,1.1509717014051735,1.4433149854903178,2.432212315234769,1.9802710081129125,1.798193975032774,1.5855540627298126,1.4769023557218617,1.8844324350357056,2.3437649975196657,1.2470288046270213,1.1443313433091522,1.5456689150961769,1.3866296733929175
tas,2034,1.6730323644461815,1.5015158112613183,1.443186403384838,1.2993784096060825,1.2386216927725922,1.3598847931433653,2.5237433420619815,1.7646863400902646,1.8353783116442013,1.5580920375567093,1.4235513290146855,1.8221944570541382,2.4979721499696788,1.2952811002650197,1.3074443836369578,1.4738704423062738,1.5311248331197949
tas,2035,1.7766655259873734,1.4448949066451366,1.6150348633191574,1.3397693489500473,1.2310094685576491,1.4741675503224105,2.570213949747005,1.7201074583154015,1.9871990468347605,1.6863636897596734,1.5319064419408714,2.1348342895507812,2.5447107845815347,1.3031221616334772,1.1447537546737483,1.3977253729990669,1.5976096062985714
tas,2036,1.8526115494504296,1.565304122287164,1.633364225734643,1.3609757803336322,1.0211682221777494,1.7835293946801158,2.698773436974591,1.867415444894841,2.2582380205067145,1.6595904725651849,1.5822387767792587,2.0544052124023438,2.650631512341292,1.2614313453898898,1.1858691742688212,1.4359241030389096,1.6261043456454445
tas,2037,1.976119916243808,1.7893385737475995,1.691875144845227,1.5075399552173157,1.2801005351012502,1.8511626415306164,2.774684388247067,1.8965155884719043,2.24527684436436,1.8372448796472962,1.5452787216162989,2.1481449604034424,2.7913328078868553,1.3327222246198527,1.3141582617602268,1.6704137761184654,1.7773399368437073
tas,2038,1.9821651954063242,1.734504714344529,1.7485203212655545,1.4276652999898733,1.4086537805500683,2.0091995664695523,2.705544980998866,1.9954173367761665,2.23037963730899,1.9417413540248607,1.5871680951871194,2.319363832473755,2.7933352914452123,1.5454010215758938,1.302586718224622,1.6543549486901412,1.6112898539815081
tas,2039,2.096547824224814,1.6134588606213593,1.763028027095847,1.313765548690763,1.1214343735085919,2.062773320233395,2.7400479447414576,2.098179811691305,2.4587677108527353,1.7976721220934735,1.5802440750434055,2.387420654296875,2.8466419206895117,1.3796172868342704,1.4639472850033002,1.7244980826187326,1.8002675153630083
tas,2040,2.189995590419201,1.565212184104799,1.8344524565921223,1.516522070429308,1.2778209617409761,2.27138888156882,2.622786628131152,2.1311331033197263,2.3429658088441365,1.9163001217996178,1.5645778572235163,2.3578288555145264,2.83551484758568,1.3096838453566637,1.532724914710542,1.359596372147081,1.9355489598947269
tas,2041,2.24045286018503,1.5196166517824612,1.730025626673201,1.5199985795970292,1.4800233621883432,2.2705643286373536,2.76036325762261,1.9925955958049286,2.153450961936045,1.8551069919656367,1.602741453922197,2.4157001972198486,2.875319637120119,1.3735662145688725,1.5106420803498632,1.446953301745727,1.9626554215381589
tas,2042,2.2037108796002514,1.6753194024056721,1.9838569510902129,1.5647512031979527,1.418693478280744,2.1264008999253625,2.862794759882007,2.1873814011249855,2.218625894215099,1.7908207365694107,1.559946136762368,2.3697712421417236,2.8094109048251332,1.3935212989591246,1.5148545868739849,1.5484180506832483,1.7814354533173287
tas,2043,2.0381991184182433,1.7064567100836239,1.9371483683335384,1.4534222921104127,1.3956620217484073,2.095581614581036,2.9320231075306773,2.3028656646786536,2.377730934011216,1.8143604597202057,1.7485617444493944,2.2719879150390625,2.764712019359422,1.3347820057346667,1.5753352247558041,1.6588057492792245,1.8848639779567975
tas,2044,2.1107389643757366,1.7318621798457343,1.9712077310449654,1.5683216827032282,1.3282060915478364,2.0178084614328404,3.0135775982219237,2.0646915780923742,2.3325800061725346,1.910046848343247,1.7007326924598516,2.3543701171875,2.789022644893123,1.3454292336719458,1.6955136767615595,1.792714286047224,1.8017851314416948
tas,2045,2.227598157897996,1.6110522292468847,1.865865858213553,1.6384284024201843,1.2066701995860285,2.1781881251625257,3.2421267175746826,2.2322103512464033,2.379714198561563,1.9889804510121536,1.7775915578476287,2.4882380962371826,2.822348824249152,1.5819137021555083,1.6597372295185504,1.951075455416131,1.9529786780785325
tas,2046,2.2264759645286554,1.7545308061817007,2.032219122722798,1.5939459371497502,1.4258546405853565,2.1830291272488673,3.259805182907892,2.361510066090304,2.548024957786069,1.911390966003528,1.8511012018626,2.687164306640625,2.9411671789651166,1.718977416195969,1.650662155407602,1.9751225817354576,1.894343854027838
tas,2047,2.370300554011351,1.9585835960390579,2.09640420334415,1.5933106300857862,1.5373034656830005,2.0193862223516796,3.0982945796058865,2.330738509670591,2.706176202479014,2.164922960601847,1.8915692365905887,2.72863507270813,3.1138677475505054,1.5315365197142323,1.6819927610902,1.763026517348185,2.11880697637478
tas,2048,2.2244107248760137,1.9737150619106814,2.1299716954449033,1.6147378115527335,1.6525633624851632,2.281922687170147,3.3255435533856805,2.392300333873673,2.6431430191470895,2.1089989104968176,1.8865982565338253,2.5417556762695312,3.111148092049883,1.5805949246847224,1.918819513135091,1.8548579315648794,2.211863787925092
tas,2049,2.4422735497605665,2.04060460553157,2.098506019016886,1.6253692885148325,1.6255284691830003,2.499841060361831,3.453574663932244,2.3784198549583615,2.6152383076828394,1.9745326183044607,1.8555135051422837,2.846216917037964,3.114620975569229,1.7056720099023248,1.7592968443758725,1.9658155692375203,2.136416483982728
