,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2027,1.7166962578543092,1.4545571927729053,1.3728838877495946,1.2152088648181187,1.8140297838540391,2.129148272194731,1.585865453426403,2.109072995873911,1.3341856578439035,1.8951573887213915,1.5162377639323619,1.3963686965822006,1.7506179809570312,2.1910332053437713,1.1125728020363443,1.337981139968728,1.6558245473932847
tas,2028,1.676806581350571,1.4894981671465928,1.4505895371855786,1.0175030047712614,1.8174490883913563,2.2311833806071113,1.7817802645775913,2.2533717204478543,1.583297505799545,1.918419660753268,1.3847272767636458,1.4300194444056586,1.926007628440857,2.30614565884458,1.192348369276625,1.4661965814556719,1.6987019382517208
tas,2029,1.5268687974315707,1.6772699522773327,1.3823482521209154,1.193004903294688,1.6092050114867409,2.359079074886381,1.726950601554999,2.0165018702673856,1.6162698849786779,1.8073890619746322,1.5047686791126627,1.5249185552802043,2.1119205951690674,2.2801037755230404,1.498693573283873,1.275544916596677,1.5327008929109336
tas,2030,1.6207753643079836,1.7748354289011559,1.42352604805311,1.2575814633033484,1.6725273324300929,2.3041362054725405,1.69888085886564,2.0485266047553523,1.4195447894246438,1.847542651175175,1.5427632889175555,1.5291556756936633,2.0283687114715576,2.3270803432283507,1.4392224436279502,1.2014403588133244,1.6212768519564378
tas,2031,1.823820320967073,1.7346607697080618,1.4551535220022391,1.3843658379131512,1.7484769877447472,2.528630907337378,1.7919389239897328,2.1098831101926216,1.52203300534111,1.979911172585176,1.5408730623687699,1.505711511174037,1.7263513803482056,2.470488256491251,1.0267222681377415,1.3988361897711172,1.7283388431861322
tas,2032,1.5468635335265333,1.6625130709598939,1.542928592950408,1.2631036112319503,1.8076158576002161,2.5519400573888382,1.863293624797431,2.1236558306955593,1.6750024953812546,1.966740875789436,1.6276899119795492,1.6201679047663617,1.6997960805892944,2.5276992649916963,1.0830032763421542,1.4257291281198217,1.8116604014558295
tas,2033,1.7320743331072066,1.7409100579948433,1.5310105057119567,1.2553490254094726,1.8918114696115065,2.7009204007017424,1.7695173563581978,2.1712707757395484,1.5057425618823241,2.1131229985239535,1.5458848665573157,1.6445833573479878,1.6769613027572632,2.537719759719716,1.1003037239213047,1.3722641270304479,1.6448071002700477
tas,2034,1.763487383913817,1.7703262388784726,1.6061074639963522,1.3620666787194107,2.0091168518963607,2.558792436143482,1.803336519032688,2.2359270017822723,1.5894712439195473,2.1103750257260714,1.6757767520552136,1.6386623912182376,1.809417724609375,2.5480916541847023,1.1535072241389817,1.3945850949853877,1.690887999325355
tas,2035,1.828764200121147,1.8128406911036403,1.5174014565676923,1.4016304000398254,2.0822156936501366,2.585917955788053,1.9754900849834105,2.2800375123736196,1.665791848931562,2.1860611402551533,1.7129074034413065,1.6472495774214384,1.79278564453125,2.576884081077921,1.4215479494060144,1.3452949508810406,1.8576321224151116
tas,2036,1.8757501258800506,1.8219314687594117,1.6659954966881305,1.4002379583101998,2.2372795885164627,2.7354496870765765,2.119498681072912,2.319332474385481,1.5863272896628946,2.0716326066405677,1.740906950676025,1.6581151148123088,1.9567642211914062,2.6203457813590916,1.4918058493961392,1.3885300884235268,1.9485144795404967
tas,2037,2.0937833477646848,1.9038500092981252,1.7451810161129326,1.5245396743276463,2.302856339205358,2.748211704931341,1.959739074384449,2.4095398116444833,1.5270464825895356,2.190050058228896,1.703198515088194,1.6172059740291995,1.949017882347107,2.8235885199672643,1.3725976260601034,1.5512904869494217,2.05208599918177
tas,2038,1.9688790794015365,1.9842935355487537,1.8408544376480904,1.3023877981810728,2.152343222314561,2.6379428660729665,1.9993849611755887,2.533442952817419,1.5929131907800382,2.1882245233111255,1.8910274615407445,1.7087141754763497,2.273406982421875,2.7384772750653403,1.2811451682656052,1.656699539941883,2.100363675620675
tas,2039,1.8857788535985804,2.2470801552781645,1.849238292643425,1.123071417054092,2.1041569224335603,2.8522943454603316,2.267059544192255,2.2356279361850966,1.5329593362698546,2.3665804308786136,1.9586507990849071,1.7326433808115194,2.23687481880188,2.8282635238638627,1.4048799166466779,1.5542342522342143,2.03273752939099
tas,2040,2.0522588065353964,2.131279899513648,1.890927361383466,1.2596705375923467,2.257408699308011,3.0129010768247184,2.3959721394759064,2.392704661035083,1.697120801367883,2.499903993004087,1.7983270691963185,1.8276630777300273,2.1689682006835938,2.8537515140427843,1.6988520077591762,1.8034076345404628,2.1635233067484023
