,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CIESM,CanESM5,E3SM-1-0,E3SM-1-1,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MCM-UA-1-0,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-MM,SAM0-UNICON,TaiESM1
tas,1850,0.10262065488142487,0.11825978158030163,-0.35680108043131514,0.018490393360546403,0.16767484022981685,0.03037927231865467,-0.11831771143177623,-0.058673674330729376,0.04432410821463861,-0.10482164120245822,0.09318810805982498,-0.03106537528848226,-0.1733816993762692,-0.08325107280868356,-0.1847147541806322,0.15694110893454175,0.09643115473153803,-0.0172609737285588,-0.0635109494997342,-0.033290591580007835,-0.0790530885448059,0.059510777601990604,-0.2146708220243454,-0.04106588941745789,0.20582402299055977,-0.0887748018164558,-0.01166824356331612,-0.04432147752919965,0.05793630921102988,-0.03213844487714823,0.1111479749656894,-0.2324046736128338,0.018208783141176355
tas,1851,0.1121115323636559,-0.002496960330887532,-0.3105204016635336,-0.044167107048920684,0.11976849720662604,0.12166176100712296,-0.2444228241513239,-0.2453978524117133,0.12621892894570408,-0.18812939588088304,-0.1623021757392896,0.08187783039779124,0.053857791004314017,0.017912399389989748,-0.12217296229900872,-0.05421640415454002,0.24017322787664833,0.11515958094752439,-0.02623409710243152,-0.058881278359133184,0.013956529741392387,0.03483633802166727,-0.03333790972828865,-0.07281957594685196,0.17605750301402168,-0.12705925165132234,0.03825345405959979,-0.061921322621875184,0.10964309172921578,0.11493538982357165,0.13049134753528335,-0.19232111819692932,0.09598500025005308
tas,1852,0.26966917067544216,-0.06482455504922768,-0.14365910040075866,-0.06909870678011032,0.30370471319745224,-0.04068234015291713,-0.11447005722395431,-0.12208822094680727,-0.08442319371231122,-0.10971206581644329,-0.09110250980737551,0.06364284355851169,0.23121007256284068,0.07064007637586656,0.013509887108928828,0.031410131184453384,0.18448612298363778,0.11758396121552532,0.13994030453748962,-0.0187261361713477,0.0478169403547876,0.05615452513859509,-0.0440165214240551,-0.02183884406499222,0.23288431393352482,-0.10388290244888292,0.11639950138651993,-0.05495810628446899,0.029212287098137796,0.029736253622322312,0.025654208588354283,-0.043947246850971546,0.202512153616586
tas,1853,0.16607476237066976,-0.044081550654387534,-0.21568768803350716,-0.03288791221439169,0.2809211547595207,-0.037832757126603646,-0.02328290622382667,-0.18167581011373102,-0.12065953004002476,-0.061498280210074086,0.06330128250479561,-0.07796181753790658,0.2243769804603867,-0.11261586578401268,-0.0008320257252118305,0.02759766723209604,0.07476093085756001,0.1519305982844751,0.13421545902690468,0.2755278878081147,-0.2652394753577975,0.0416072227287998,0.03057098388671875,0.02439048739554058,0.2037457339475471,-0.051393597549790115,-0.021166362617525653,0.2948479271696603,-0.07572205209852712,-0.09845295261362234,-0.004372014910401845,0.08235256294491933,-0.013011976554347863
tas,1854,0.23628564205661462,0.06902677593014535,-0.1588899156869464,-0.07309008078955041,0.03604606985733009,-0.07564431526572453,-0.022482038422197093,-0.20017153104213037,-0.30224114437448196,0.00374241359220188,-0.074993902747939,0.04385880575157349,0.04548364989337017,-0.16693316868070932,-0.16854135670175197,-0.026284284580086137,0.10819138650615419,0.19188515873604692,-0.21232207680495208,-0.1567540887862672,-0.14936338533788293,0.007413670137969082,0.12552134692668915,-0.05710847026747009,0.25434144714001644,0.21362461242756106,-0.07836813108838214,0.15807498769429174,-0.11502293077958352,-0.020435645887128356,0.26039707503886217,0.19375552860028714,-0.08131461592323319
tas,1855,0.007360497626583158,-0.024838334719234467,-0.2987363914240291,0.010673086331782619,0.28726241077095455,-0.2217871831741481,-0.22532234777870977,-0.04215064426953082,-0.18504490457926673,-0.08304242167461003,-0.1261686136080963,0.09854053511981913,-0.0007844840461264843,-0.10969880200577602,-0.09828639129133876,-0.05248830352893208,0.18852861668274556,0.19368701146488831,-0.10264674177787943,-0.30388218592945765,-0.09394159581741235,-0.021146385522158084,0.03664906695485115,0.01151857574932554,0.1313740254191534,0.31735665850981337,-0.07480394532253835,0.013584190419692277,0.06597173014055595,-0.06812117987095216,0.25739207748571385,0.09781622716551415,0.003113574754470013
tas,1856,0.036374679913265595,0.07113008292520817,-0.24670203541120847,0.03441135987548213,0.16027519408332105,-0.0954461279468622,-0.05878267917160448,0.04691465585356506,-0.0016462763434172227,-0.07340848563138991,-0.07621322913881556,-0.06971891525293945,0.15336369194702115,0.0710988974736561,0.016372199244007863,-0.07519021657001208,0.12320203964370553,-0.001387089327631467,0.13434225314009987,0.006035011828852059,-0.014501365499176208,0.05704423403819684,0.16203053295612335,0.02471771230067077,0.1456129148461732,-0.14880419931581437,-0.15698337034423085,-0.05067043627612122,0.06303531081784779,-0.048969040416684116,-0.09400696601864904,-0.22467536721738193,0.032207468814917206
tas,1857,0.0966039004744772,-0.025974762139644742,-0.08561937056864129,0.04423072821857469,0.0876931572343409,-0.0008007233796263336,-0.05768020129378234,0.032441129937671086,0.14798931710262764,0.023813969136104635,-0.08421499679533422,0.02224194789404521,0.04870715795248278,0.029731644657871925,0.0014641562511409727,-0.09867348496598065,0.1136888960849755,0.007875916619999165,0.2342045980063953,0.2022518749905752,-0.194323409314246,0.04947672538122087,0.12024179846048355,0.023610597318092157,-0.03217007226531147,-0.10392714883232657,-0.10994735932401056,0.028513336635503112,-0.007275998039484459,-0.031061221249378452,-0.12240328125287665,-0.0053504494564672695,-0.07901116236427204
tas,1858,0.013044463316551477,-0.14869420790737328,-0.17193028037918623,0.0787886873537218,0.30820092071168403,-0.13015690644777086,-0.1935810532713115,-0.15068244703202063,-0.004834921244759964,-0.003722906697764946,-0.10667052236694492,0.027982594482689176,0.0557842341031242,-0.04619275148353571,0.04532872353921865,-0.043831081934134396,0.10592830129081203,0.1086570519957301,0.15355654514416509,0.01875795522244535,-0.050233847308537825,0.051911634734362146,0.05670420452952385,-0.014405560396359837,-0.03265824312124247,-0.059755286262794506,0.026135880370304676,0.01620382875530879,-0.025581229599822564,0.08208025386925044,-0.12694022259176543,0.21020340432107787,-0.10085791710983472
tas,1859,0.12441552698181606,-0.09429213249429343,-0.006997310327723956,0.07132386242686077,0.21164468468407924,0.024106341993340646,0.159607275767731,-0.0076860096209874955,0.22763312669617145,-0.09710070056153579,0.02028849657484481,-0.03720222576714131,0.16924542118576844,-0.050338919247778335,-0.13035931212243668,0.13465267708633158,0.05734310926235272,-0.018618483656221468,-0.09595256310374604,-0.050981854166181506,0.05130531798333019,-0.03669266268083978,0.17357635498046875,0.075782123016585,-0.11893979184433097,0.07579650798065529,0.02349667093336431,0.06671847603396941,0.14549436987560208,0.0587374813438449,-0.09948001680371021,0.18714325896842374,0.04541503825335269
