,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3
tas,2038,1.9046217270063626,1.653600567592946,1.53598355313945,1.2608647137138622,2.136745213488993,2.50268682706916,1.9544142048408493,2.119587123452414,1.3211726279203095,2.175197044473142,1.4513230830699608,2.170626401901245,2.473809197419944,1.2161719287388024,1.4783700735220624,1.5812107122940564,1.673317390153656
tas,2039,1.8904400990726298,1.8130387244973083,1.3633753600843903,1.1408870559816269,2.11135705485745,2.5573381324085602,1.965090030911398,2.0800506143798714,1.5580470163156832,2.1055293630959824,1.5135445562623222,2.065091371536255,2.584572157099695,1.1104462265144026,1.3861806175860825,1.6829757458174441,1.7807038173992897
tas,2040,1.9591305284637504,1.6659609221506837,1.4586467609227138,1.2524626118955429,2.1897487261326205,2.507769685186858,2.2839237719010916,1.9082923725203027,1.517601323812097,2.136126970830418,1.425021117518341,1.8032785654067993,2.6077604226047413,1.1527304402849932,1.3472178718570547,1.7791981961144263,1.858642778216705
tas,2041,1.9058604838831268,1.6209582666378377,1.4806621395265342,1.1283469958879426,2.238405707575661,2.5083057962244957,1.8208516475085617,2.074401889727284,1.365787374190764,2.2148123754185227,1.283729184550533,1.97515869140625,2.5115381343751486,1.2597418024094555,1.6103123997401951,1.6636931909487345,1.9857937684297629
tas,2042,2.0331491154524834,1.7740974442172472,1.5407328568315062,1.1801830825220823,2.0821570677939767,2.6017768166478654,1.9233111512666408,2.1278159967730375,1.4694122433529202,2.282839340553982,1.3143414696986895,2.1112442016601562,2.5529597538383277,1.2985494350470315,1.681096286933543,1.6559768051170873,1.937099922729871
tas,2043,2.188830658786557,1.8210242618697947,1.4764510174200087,1.3600910695682604,2.0665261136707236,2.6219644119210983,2.112339944569167,1.9111412415495295,1.499636049299203,2.2199101987573564,1.5117391080945406,1.9959512948989868,2.4216015636076142,1.4182138737344872,1.468823818547089,1.6994540722579927,1.893026222019742
tas,2044,2.0824100352809913,1.697382203861712,1.4934707146064028,1.1958452779342537,2.241187127157886,2.4960658151144393,2.284016934842171,2.048974094692445,1.4676680855511677,2.141495497651969,1.4506176172579472,2.1668217182159424,2.5508716698643354,1.2345915551860667,1.5549896923466946,1.778300234665006,1.8892874981080088
tas,2045,2.1315676094526643,1.6261976489214287,1.4256582142848326,1.3086476558000253,2.066763990049291,2.5788897423722736,2.214586101148342,2.163325760266474,1.471272636392295,2.1554561500608522,1.4761008010282286,2.18878436088562,2.6130020125630105,1.4006402159776172,1.584196019001401,1.799995731650905,1.8672286467537351
tas,2046,2.1817665597640663,1.6983809588173056,1.6041852670359258,1.1905516472710502,2.150369378378462,2.8136968833915383,2.17066516158638,2.13622060392899,1.4154518364573458,2.109016373683905,1.537716832576379,2.0953876972198486,2.720574293334437,1.7139538088623898,1.5383972908500472,1.5763408763129263,1.8980987390678241
tas,2047,2.289325896065994,1.5719400558780166,1.6512027119562116,1.4086468947921087,2.0785332935946172,2.7042541577884123,2.223173535689464,2.145006385864903,1.3371921948397916,2.2639344053886865,1.5110698220753704,2.2704620361328125,2.650756569252863,1.3156627487819084,1.5982629288492045,1.6140138957754193,2.0172416328645206
tas,2048,2.275233330020844,1.6879118467810865,1.6985033376804732,1.337656480960291,2.299575228157513,2.531896561101945,2.026638447519692,2.079467941726795,1.419081263744303,2.2149384192902013,1.53310614474249,2.3053486347198486,2.619584693758867,1.2822819439834252,1.646923143843125,1.8328208928256515,2.1806885438819514
tas,2049,2.2613448953445263,1.8706754706717181,1.6268365760528525,0.8199489209711904,2.1854494296005527,2.6921087613822814,1.9989222549574304,2.366791015811335,1.3953734824352562,2.1733972013646223,1.5277638906417035,2.31134295463562,2.792504667878243,1.3540610480614912,1.6331320918301817,1.7101519235539324,2.092454540007471
tas,2050,2.108394761733147,1.9441777948023002,1.6420033961873344,1.1009646865385463,2.2281531359826374,2.6251630961527233,2.0794456496468476,2.375853714565153,1.4142896062091002,2.1758300477067203,1.5218563347263512,2.46924090385437,2.8233330892797284,1.5648745831815678,1.5396690820377852,1.8097785857123607,1.9587936712736678
tas,2051,2.2778287769839003,1.801224949175212,1.6017850246925132,1.237091567232279,2.1856601380006992,2.4569879052826216,2.054617677983458,1.994461910181182,1.3797083669989452,2.2437058001305608,1.5145369145355876,2.482882261276245,2.8014180040973193,1.6231064009473453,1.6784548584413368,1.874765532744031,1.9730221964889505
tas,2052,2.4513242040044596,1.7805500405842924,1.8555273949231956,1.2842863596599774,2.3533271002932423,2.7065394730212233,1.9128063038587158,2.132944173913065,1.3551348132515575,2.3486861754041635,1.500109918263168,2.095463991165161,2.8911902349822234,1.201874561586152,1.6139629939776416,1.8433958031097621,2.040724028227691
tas,2053,2.4288061369636154,1.809504672878911,1.7442400883119735,1.2484500951905677,2.2139479053583955,2.8814568095107753,1.9083838188786046,2.2465206255541545,1.4132868033085846,2.2493869330745753,1.427284313248099,2.1699066162109375,2.7880982609763882,1.1693722830709607,1.524623564539316,1.9610372002763843,2.135527011489117
tas,2054,2.293489119807655,1.779503340373651,1.6346887567336286,1.0902609165138035,2.2593048998738205,2.80644768045993,2.094936742797595,2.169639965109994,1.342868383038739,2.156311163463594,1.5462275681679927,2.092376708984375,2.7714497717847357,1.3153503942561475,1.4877446545227901,1.8521467488336565,2.0889597796450565
tas,2055,2.1750817238132023,1.635795752328832,1.719028114473635,0.9600467313133881,2.322403265675689,2.7811950054305234,1.8033343892185674,2.229621778643543,1.3521288139434897,2.14246068758464,1.5452746087728382,2.220280885696411,2.8126803866213144,1.4002681327727895,1.542013059612297,1.9808979271293243,2.0943671296651067
tas,2056,2.3557093340090773,1.7025847590432999,1.8035190562533028,1.3107417486522148,2.1473591104041296,2.942000966422872,1.9207793778128017,2.3551721715163723,1.4248155670927598,2.2752062416812557,1.5072580770464346,2.3844807147979736,2.844876499744563,1.6269571876796316,1.622437389298644,1.944386460002832,2.1796255678197696
tas,2057,2.2815942086420953,1.884744903332783,1.7510668883183864,1.3590971074126752,2.3167832419894125,2.9684594661017627,2.0809162084832593,2.376667467660255,1.4158381734789032,2.4056321608228615,1.586812022138569,2.32062029838562,2.9734273118955485,1.531065254713937,1.5983908060415075,1.8296680820744815,2.0499367734195695
tas,2058,2.375801785078328,2.025719217028623,1.7294061491096642,1.295247765690225,2.381080303136926,2.7982897226749563,1.9385453235167869,2.357705218262538,1.434318441041621,2.2634782453085003,1.5782740751566848,2.4171142578125,2.902304024683564,1.369130749045733,1.524155169862695,1.829650957181381,1.981088240799006
tas,2059,2.2473488294283848,1.9137878315171026,1.711812314337081,1.2224720541164658,2.1578739933984203,2.8424223818230936,2.0834194575665115,2.5382670985551052,1.3308619812899518,2.2220097352023487,1.5754644227166732,2.3320720195770264,2.909621959854661,1.4409132667734401,1.6219706053327532,1.7626765599789138,2.0343887897005053
tas,2060,2.324871495344676,1.8119866201552195,1.644120946298732,1.3257389774950497,2.35041379290522,2.9670159099580644,2.1372507864094055,2.3759873203227024,1.3082135403552873,2.2530995456789875,1.5964778741546581,2.1809208393096924,2.9663587833212546,1.5941173308608019,1.839944569096114,1.8106505347063877,2.0010276978675186
tas,2061,2.372602150780542,1.8656169548751553,1.6741524661935756,1.3692289132208941,2.3339632659117675,2.8690083860048126,1.7436296346627056,2.217230541234102,1.5009222341590487,2.1645987707868954,1.5662580163660305,2.1836140155792236,2.9284987929619652,1.6292392076252753,1.8288332452251268,1.8324156043019808,2.1064779716648636
tas,2062,2.396568507617161,1.868365830281083,1.665615289710587,1.328555249444771,2.1976244838259853,2.941487208597247,1.852773006834165,2.2545039939468268,1.4582746772393165,2.3868797358328444,1.6255629950474078,2.377751588821411,3.0085569089605997,1.8050374952036254,1.462067169513702,1.7205043820165002,2.1432116355983815
tas,2063,2.503492650327137,1.8938344066551924,1.6562689220894953,1.422043305031077,2.316840451946083,2.9930910228841867,1.9908651312299288,2.2075552153818783,1.3771989574441978,2.3826484832255708,1.5588965830609425,2.4571712017059326,2.7934821500330194,1.4156489801080927,1.4342364711004525,1.7918154093987226,2.302759324316303
tas,2064,2.492644321369132,1.864595572206369,1.5806200089813416,1.2000636283091997,2.5032845088161317,2.9332547859777662,2.17768356063533,2.3994133719380764,1.4953766401373845,2.275366218126436,1.5901561698690851,2.49444842338562,2.855858559526041,1.2879100738014795,1.5108926357093158,2.0292024229269097,2.165204236712853
tas,2065,2.4031737502873796,1.6883679339636284,1.5963400318130425,1.267420341622696,2.395955171270392,2.8102700586235776,1.907248053532399,2.529479929155935,1.279059629362763,2.2610019464246798,1.5874789790424255,2.360865354537964,2.902648260574921,1.3651092551041017,1.4681070897597976,2.110044529429961,1.904545189838468
